index,optional_subject,count,scope,known_values_only
0,"B.E. Computer Science, DCRUST Murthal",1,"AIR 1–5, 2019–2025",True
1,"B.Tech Civil Engineering, IIT Bombay",1,"AIR 1–5, 2019–2025",True
2,"B.A. History (Hons.), St. Stephen's College; postgraduate study at JNU",1,"AIR 1–5, 2019–2025",True
3,"Economics (Hons.), University of Delhi",1,"AIR 1–5, 2019–2025",True
4,B.Tech Computer Science,1,"AIR 1–5, 2019–2025",True
5,"B.A. Economics, SRCC, DU",1,"AIR 1–5, 2019–2025",True
6,"B.Com, Kirori Mal College, DU",1,"AIR 1–5, 2019–2025",True
7,"B.Tech Civil Engineering, IIT Hyderabad",1,"AIR 1–5, 2019–2025",True
8,"B.Sc., Miranda House, DU",1,"AIR 1–5, 2019–2025",True
9,"Dual Degree, IIT Kanpur",1,"AIR 1–5, 2019–2025",True
10,NIT Rourkela,1,"AIR 1–5, 2019–2025",True
11,"B.A. Geography (Hons.), Miranda House, DU",1,"AIR 1–5, 2019–2025",True
12,"B.Sc. Biochemistry, University of Allahabad; postgraduate study at BHU",1,"AIR 1–5, 2019–2025",True
13,"B.Com, MS University of Baroda",1,"AIR 1–5, 2019–2025",True
14,"B.E. Computer Engineering, GTU",1,"AIR 1–5, 2019–2025",True
15,"B.Tech Computer Science, GGSIPU",1,"AIR 1–5, 2019–2025",True
16,"MBBS, AIIMS Jodhpur",1,"AIR 1–5, 2019–2025",True
17,"B.E. Electrical & Electronics Engineering, Anna University",1,"AIR 1–5, 2019–2025",True
18,"B.Com, University of Delhi",1,"AIR 1–5, 2019–2025",True
19,"B.A. Economics, University of Delhi",1,"AIR 1–5, 2019–2025",True
20,"B.A. LLB (Hons.), NLU Delhi",1,"AIR 1–5, 2019–2025",True
